Date,QQQ
2020-02-01 00:00:00-05:00,198.84
2020-03-01 00:00:00-05:00,183.96
2020-04-01 00:00:00-04:00,211.96
2020-05-01 00:00:00-04:00,225.95
2020-06-01 00:00:00-04:00,239.74
2020-07-01 00:00:00-04:00,257.8
2020-08-01 00:00:00-04:00,286.01
2020-09-01 00:00:00-04:00,269.48
2020-10-01 00:00:00-04:00,261.28
2020-11-01 00:00:00-04:00,290.61
2020-12-01 00:00:00-05:00,304.3
2021-01-01 00:00:00-05:00,305.65
2021-02-01 00:00:00-05:00,305.24
2021-03-01 00:00:00-05:00,310.09
2021-04-01 00:00:00-04:00,328.83
2021-05-01 00:00:00-04:00,324.88
2021-06-01 00:00:00-04:00,344.83
2021-07-01 00:00:00-04:00,355.1
2021-08-01 00:00:00-04:00,370.08
2021-09-01 00:00:00-04:00,348.67
2021-10-01 00:00:00-04:00,376.5
2021-11-01 00:00:00-04:00,384.02
2021-12-01 00:00:00-05:00,387.95
2022-01-01 00:00:00-05:00,354.47
2022-02-01 00:00:00-05:00,338.6
2022-03-01 00:00:00-05:00,353.97
2022-04-01 00:00:00-04:00,306.22
2022-05-01 00:00:00-04:00,301.36
2022-06-01 00:00:00-04:00,273.99
2022-07-01 00:00:00-04:00,308.98
2022-08-01 00:00:00-04:00,293.12
2022-09-01 00:00:00-04:00,261.77
2022-10-01 00:00:00-04:00,272.73
2022-11-01 00:00:00-04:00,287.85
2022-12-01 00:00:00-05:00,261.28
2023-01-01 00:00:00-05:00,289.77
2023-02-01 00:00:00-05:00,288.73
2023-03-01 00:00:00-05:00,315.65
2023-04-01 00:00:00-04:00,317.75
2023-05-01 00:00:00-04:00,342.8
2023-06-01 00:00:00-04:00,363.91
2023-07-01 00:00:00-04:00,378.47
2023-08-01 00:00:00-04:00,372.86
2023-09-01 00:00:00-04:00,353.41
2023-10-01 00:00:00-04:00,346.61
2023-11-01 00:00:00-04:00,384.11
2023-12-01 00:00:00-05:00,404.55
2024-01-01 00:00:00-05:00,412.95
2024-02-01 00:00:00-05:00,434.76
2024-03-01 00:00:00-05:00,439.73
2024-04-01 00:00:00-04:00,421.05
2024-05-01 00:00:00-04:00,446.95
2024-06-01 00:00:00-04:00,475.11
2024-07-01 00:00:00-04:00,467.88
2024-08-01 00:00:00-04:00,473.05
2024-09-01 00:00:00-04:00,484.77
2024-10-01 00:00:00-04:00,481.25
2024-11-01 00:00:00-04:00,507.0
2024-12-01 00:00:00-05:00,508.49
